ekicode,groupcode,name,noriire,ido,keido
2600411,2600411,九品仏,2,139.660992,35.60538
2600412,2600412,尾山台,2,139.653862,35.606971
2600413,2600413,等々力,2,139.647938,35.608369
2600414,2600414,上野毛,2,139.638917,35.611957
2600415,2600307,二子玉川,2,139.626685,35.611788
2600501,1130202,五反田,5,139.724175,35.625262
2600502,2600502,大崎広小路,2,139.722339,35.622244
2600503,2600503,戸越銀座,2,139.714862,35.615928
2600504,2600504,荏原中延,2,139.712196,35.610056
2600505,2600406,旗の台,4,139.702286,35.604923
2600506,2600506,長原,2,139.697881,35.60219
2600507,2600507,洗足池,2,139.690896,35.599648
2600508,2600508,石川台,2,139.685063,35.596888
2600509,2600509,雪が谷大塚,2,139.681083,35.592038
2600510,2600510,御嶽山,2,139.682473,35.585236
2600511,2600511,久が原,2,139.685678,35.579499
2600512,2600512,千鳥町,2,139.69142,35.572983
2600513,2600513,池上,2,139.702822,35.572025
2600514,2600514,蓮沼,4,139.708544,35.564173
2600515,1133230,蒲田,6,139.714626,35.561767
2600601,2600109,多摩川,5,139.668723,35.589591
2600602,2600602,沼部,2,139.67326,35.582526
2600603,2600603,鵜の木,2,139.680554,35.575452
2600604,2600604,下丸子,2,139.685576,35.571397
2600605,2600605,武蔵新田,2,139.692506,35.567806
2600606,2600606,矢口渡,2,139.700389,35.562462
2600607,1133230,蒲田,6,139.714626,35.561767
2600701,2600303,三軒茶屋,3,139.670156,35.643716
2600702,2600702,西太子堂,2,139.666382,35.644545
2600703,2600703,若林,2,139.659911,35.645933
2600704,2600704,松陰神社前,2,139.655211,35.643947
2600705,2600705,世田谷,4,139.650945,35.643564
2600706,2600706,上町,2,139.646276,35.643656
2600707,2600707,宮の坂,2,139.64494,35.647508
2600708,2500110,山下,2,139.646509,35.653844
2600709,2600709,松原,4,139.642,35.660048
2600710,2400107,下高井戸,3,139.641372,35.66615
2700101,2700101,泉岳寺,3,139.74002,35.638692
2700102,1130103,品川,14,139.73809,35.628284
2700103,2700103,北品川,2,139.739191,35.622458
2700104,2700104,新馬場,2,139.741366,35.61762
2700105,2700105,青物横丁,2,139.742958,35.609351
2700106,2700106,鮫洲,2,139.742227,35.604977
2700107,2700107,立会川,2,139.738886,35.598489
2700108,2700108,大森海岸,2,139.73544,35.587576
2700109,2700109,平和島,2,139.73491,35.57868
2700110,2700110,大森町,2,139.732027,35.572431
2700111,2700111,梅屋敷,2,139.728266,35.566873
2700112,2700112,京急蒲田,3,139.723681,35.560796
2700113,2700113,雑色,2,139.715005,35.549725
2700114,2700114,六郷土手,1,139.7076,35.540577
2700201,2700112,京急蒲田,3,139.723681,35.560796
2700202,2700202,糀谷,2,139.72962,35.5545
2700203,2700203,大鳥居,2,139.739356,35.552531
2700204,2700204,穴守稲荷,2,139.746669,35.550326
